113;08.08.2014-16:28:25;0;46;
114;08.08.2014-16:28:30;0;44;
115;08.08.2014-16:28:35;0;46;
116;08.08.2014-16:28:40;0;40;
117;08.08.2014-16:28:45;0;47;
118;08.08.2014-16:28:50;0;39;
119;08.08.2014-16:28:55;0;41;
120;08.08.2014-16:29:00;0;38;
121;08.08.2014-16:29:05;0;38;
122;08.08.2014-16:29:11;0;40;
123;08.08.2014-16:29:16;0;38;
124;08.08.2014-16:29:21;0;41;
125;08.08.2014-16:29:26;0;37;
126;08.08.2014-16:29:31;0;46;
127;08.08.2014-16:29:36;0;43;
128;08.08.2014-16:29:41;0;39;
129;08.08.2014-16:29:46;0;44;
130;08.08.2014-16:29:51;0;45;
131;08.08.2014-16:29:56;0;49;
132;08.08.2014-16:30:01;0;41;
133;08.08.2014-16:30:06;0;38;
134;08.08.2014-16:30:11;0;49;
135;08.08.2014-16:30:16;0;42;
136;08.08.2014-16:30:22;0;45;
137;08.08.2014-16:30:27;0;41;
138;08.08.2014-16:30:32;0;36;
139;08.08.2014-16:30:37;0;37;
140;08.08.2014-16:30:42;0;42;
141;08.08.2014-16:30:47;0;45;
142;08.08.2014-16:30:52;0;47;
143;08.08.2014-16:30:57;0;40;
144;08.08.2014-16:31:02;0;41;
145;08.08.2014-16:31:07;0;40;
146;08.08.2014-16:31:12;0;47;
147;08.08.2014-16:31:17;0;41;
148;08.08.2014-16:31:22;0;45;
149;08.08.2014-16:31:27;0;40;
150;08.08.2014-16:31:33;0;36;
151;08.08.2014-16:31:38;0;45;
152;08.08.2014-16:31:43;0;41;
153;08.08.2014-16:31:48;0;38;
154;08.08.2014-16:31:53;0;39;
155;08.08.2014-16:31:58;0;125;
156;08.08.2014-16:32:03;0;39;
157;08.08.2014-16:32:08;0;43;
158;08.08.2014-16:32:13;0;60;
159;08.08.2014-16:32:18;0;39;
160;08.08.2014-16:32:23;0;39;
161;08.08.2014-16:32:28;0;41;
162;08.08.2014-16:32:33;0;14329;
163;08.08.2014-16:32:53;0;41;
164;08.08.2014-16:32:58;0;41;
165;08.08.2014-16:33:03;0;49;
166;08.08.2014-16:33:08;0;47;
167;08.08.2014-16:33:13;0;44;
168;08.08.2014-16:33:18;0;47
